,id,prices,market_caps,total_volumes
76,enjincoin,"[1623196800000, 1.3349908029787396]","[1623196800000, 1254329354.1449542]","[1623196800000, 154996500.37389922]"
77,enjincoin,"[1623283200000, 1.368807943737367]","[1623283200000, 1280920101.6736321]","[1623283200000, 133944812.47327712]"
78,enjincoin,"[1623369600000, 1.2897369626553672]","[1623369600000, 1211980505.2001019]","[1623369600000, 98088812.95074143]"
79,enjincoin,"[1623456000000, 1.2966196682178042]","[1623456000000, 1196400387.359804]","[1623456000000, 336624246.8582856]"
80,enjincoin,"[1623542400000, 1.2381605724876208]","[1623542400000, 1163690600.8441634]","[1623542400000, 176289783.8213121]"
81,enjincoin,"[1623628800000, 1.3090816273611892]","[1623628800000, 1223115704.8952322]","[1623628800000, 111951909.30213892]"
82,enjincoin,"[1623715200000, 1.4222686571248142]","[1623715200000, 1319939994.0961685]","[1623715200000, 230943784.99089593]"
83,enjincoin,"[1623801600000, 1.4149924151628668]","[1623801600000, 1323809802.6693668]","[1623801600000, 161582289.22067717]"
84,enjincoin,"[1623888000000, 1.3938579843329604]","[1623888000000, 1302069079.4057465]","[1623888000000, 260593231.33858258]"
85,enjincoin,"[1623974400000, 1.4032183675875267]","[1623974400000, 1302528189.644169]","[1623974400000, 135942648.46991986]"
86,enjincoin,"[1624060800000, 1.2823668901419825]","[1624060800000, 1201725490.5707607]","[1624060800000, 111978605.0762166]"
87,enjincoin,"[1624147200000, 1.2435130092013738]","[1624147200000, 1164253448.0241969]","[1624147200000, 67800997.98495013]"
88,enjincoin,"[1624233600000, 1.2568223729862265]","[1624233600000, 1172754320.972366]","[1624233600000, 97692628.81851462]"
89,enjincoin,"[1624320000000, 0.9471109068855573]","[1624320000000, 911341804.7129586]","[1624320000000, 176901024.51734772]"
90,enjincoin,"[1624406400000, 0.9088712498677729]","[1624406400000, 845909664.2246264]","[1624406400000, 226141350.1510855]"
91,enjincoin,"[1624492800000, 1.047927277635306]","[1624492800000, 980913748.937961]","[1624492800000, 153347103.25701183]"
92,enjincoin,"[1624579200000, 1.0687984314869825]","[1624579200000, 1000885648.7904612]","[1624579200000, 100703904.08739832]"
0,fantom,"[1616630400000, 0.33944096392519224]","[1616630400000, 869042922.8238268]","[1616630400000, 100305420.74226452]"
1,fantom,"[1616716800000, 0.32364785150883024]","[1616716800000, 821738124.1390465]","[1616716800000, 100106851.04753742]"
2,fantom,"[1616803200000, 0.36949333443391313]","[1616803200000, 937291316.0226756]","[1616803200000, 99243574.03403269]"
3,fantom,"[1616889600000, 0.36003255955275]","[1616889600000, 916498473.5018079]","[1616889600000, 71988478.0754514]"
4,fantom,"[1616976000000, 0.39712234173642497]","[1616976000000, 1010002648.0923754]","[1616976000000, 148622385.8305028]"
5,fantom,"[1617062400000, 0.4346182812363168]","[1617062400000, 1103386651.5105262]","[1617062400000, 145121746.84934032]"
6,fantom,"[1617148800000, 0.4284622558164011]","[1617148800000, 1089801012.1075866]","[1617148800000, 184457586.76775151]"
7,fantom,"[1617235200000, 0.42247841537801556]","[1617235200000, 1073819183.9845881]","[1617235200000, 164980122.86726177]"
8,fantom,"[1617321600000, 0.44388495949423334]","[1617321600000, 1122774733.292168]","[1617321600000, 141480199.1038223]"
9,fantom,"[1617408000000, 0.42375998539221604]","[1617408000000, 1078144434.3151453]","[1617408000000, 113915056.9872172]"
10,fantom,"[1617494400000, 0.39110115054919503]","[1617494400000, 995969064.9216479]","[1617494400000, 94117620.87747933]"
11,fantom,"[1617580800000, 0.4086234635930849]","[1617580800000, 1038322239.286561]","[1617580800000, 83465191.74186851]"
12,fantom,"[1617667200000, 0.4698545785491729]","[1617667200000, 1176019747.1606119]","[1617667200000, 246610647.94738972]"
13,fantom,"[1617753600000, 0.46082783672713656]","[1617753600000, 1170336673.1594665]","[1617753600000, 405644112.36797047]"
14,fantom,"[1617840000000, 0.4155486219727381]","[1617840000000, 1066208591.0707359]","[1617840000000, 190536384.8831528]"
15,fantom,"[1617926400000, 0.43568061266260205]","[1617926400000, 1103294824.928106]","[1617926400000, 127191686.51112181]"
16,fantom,"[1618012800000, 0.45107846160389714]","[1618012800000, 1145486775.5005646]","[1618012800000, 119943298.39027867]"
17,fantom,"[1618099200000, 0.44057805036145054]","[1618099200000, 1118507418.1004355]","[1618099200000, 105604555.01341389]"
18,fantom,"[1618185600000, 0.4570588734937083]","[1618185600000, 1160269915.5689511]","[1618185600000, 93362060.11223553]"
19,fantom,"[1618272000000, 0.4274450141600423]","[1618272000000, 1084806308.5420992]","[1618272000000, 92280969.18245067]"
20,fantom,"[1618358400000, 0.41953465024637515]","[1618358400000, 1066049779.1262354]","[1618358400000, 90356065.90041818]"
21,fantom,"[1618444800000, 0.4172541552713543]","[1618444800000, 1061641655.2631474]","[1618444800000, 104147228.55811131]"
22,fantom,"[1618531200000, 0.4451156421357947]","[1618531200000, 1128728446.1839125]","[1618531200000, 119853534.42109257]"
23,fantom,"[1618617600000, 0.4465469448557092]","[1618617600000, 1134185816.037253]","[1618617600000, 118578772.64264831]"
24,fantom,"[1618704000000, 0.4956779971172057]","[1618704000000, 1267278276.4190123]","[1618704000000, 473619810.57540447]"
25,fantom,"[1618790400000, 0.4186017405273962]","[1618790400000, 1064352993.0810152]","[1618790400000, 275236946.6324557]"
26,fantom,"[1618876800000, 0.40120906487262775]","[1618876800000, 1017236056.6579514]","[1618876800000, 155263636.30075085]"
27,fantom,"[1618963200000, 0.39916809283264426]","[1618963200000, 1016490199.2791051]","[1618963200000, 108051874.26852125]"
28,fantom,"[1619049600000, 0.3732572147723646]","[1619049600000, 949814152.3839856]","[1619049600000, 79965898.50164524]"
29,fantom,"[1619136000000, 0.33514358147124995]","[1619136000000, 855504857.0647588]","[1619136000000, 100258241.62926897]"
30,fantom,"[1619222400000, 0.3141028550591453]","[1619222400000, 798557109.1384267]","[1619222400000, 137733716.03738603]"
31,fantom,"[1619308800000, 0.2807779378519449]","[1619308800000, 718954483.4447492]","[1619308800000, 62917811.09373487]"
32,fantom,"[1619395200000, 0.30387922855766125]","[1619395200000, 762812860.1086493]","[1619395200000, 65784690.42540945]"
33,fantom,"[1619481600000, 0.3850365553965067]","[1619481600000, 987521102.7844024]","[1619481600000, 188646826.3928183]"
34,fantom,"[1619568000000, 0.5181601289711866]","[1619568000000, 1327688184.7142212]","[1619568000000, 330448104.89870566]"
35,fantom,"[1619654400000, 0.5902064277289785]","[1619654400000, 1496174591.979125]","[1619654400000, 568239577.4456367]"
36,fantom,"[1619740800000, 0.5857020194416215]","[1619740800000, 1518006909.9978566]","[1619740800000, 785265601.4062917]"
37,fantom,"[1619827200000, 0.7441288577058928]","[1619827200000, 1894129959.4273942]","[1619827200000, 795143303.2244792]"
38,fantom,"[1619913600000, 0.80513773108951]","[1619913600000, 2006965947.2001147]","[1619913600000, 605305512.9031757]"
39,fantom,"[1620000000000, 0.7552298163923257]","[1620000000000, 1920886174.3492405]","[1620000000000, 399459131.5925658]"
40,fantom,"[1620086400000, 0.7107742409324426]","[1620086400000, 1811522653.6924324]","[1620086400000, 314207400.2552247]"
41,fantom,"[1620172800000, 0.65255915542229]","[1620172800000, 1689535131.6177447]","[1620172800000, 411354845.18962073]"
42,fantom,"[1620259200000, 0.7816404750884984]","[1620259200000, 1986565329.929618]","[1620259200000, 504465030.1648908]"
43,fantom,"[1620345600000, 0.7310359721285988]","[1620345600000, 1854366834.4862995]","[1620345600000, 270752007.0489492]"
44,fantom,"[1620432000000, 0.7794288281972774]","[1620432000000, 1972554439.8999782]","[1620432000000, 206016641.75889054]"
45,fantom,"[1620518400000, 0.8199738193027185]","[1620518400000, 2069030782.1983109]","[1620518400000, 660005010.5415218]"
46,fantom,"[1620604800000, 0.917179588611433]","[1620604800000, 2343791075.0550303]","[1620604800000, 519089904.990088]"
